muni_id,municipal,owner_type,owner_ty_te,fuel,hybrid,veh_tot,dvmtmpg_vh,dvmt_mean,mpg_mean,glpday_val,year_q
2,ACTON,1,Noncommercial,Other,0,1,0,,,,2014_q2
150,LEE,1,Noncommercial,Other,0,5,0,,,,2014_q2
198,NATICK,2,Commercial,Other,0,4,0,,,,2014_q2
1,ABINGTON,1,Noncommercial,Diesel,0,107,49,28.6246,14.9851,93.6,2014_q2
1,ABINGTON,1,Noncommercial,Flexfuel,0,580,199,33.6543,17.0538,392.71,2014_q2
1,ABINGTON,1,Noncommercial,Gasoline,0,10818,4360,28.5156,19.7865,6283.47,2014_q2
1,ABINGTON,1,Noncommercial,Gasoline,1,98,34,34.1927,35.672,32.59,2014_q2
1,ABINGTON,2,Commercial,Diesel,0,45,4,24.0539,13.1442,7.32,2014_q2
1,ABINGTON,2,Commercial,Flexfuel,0,51,17,42.1379,16.5629,43.25,2014_q2
1,ABINGTON,2,Commercial,Gasoline,0,312,109,31.9912,17.3097,201.45,2014_q2
1,ABINGTON,2,Commercial,Gasoline,1,6,1,54.1411,25.2996,2.14,2014_q2
1,ABINGTON,2,Commercial,Other,0,1,0,,,,2014_q2
2,ACTON,1,Noncommercial,Diesel,0,166,58,35.7458,24.5443,84.47,2014_q2
2,ACTON,1,Noncommercial,Elect,0,6,0,34.1647,,,2014_q2
2,ACTON,1,Noncommercial,Flexfuel,0,405,148,34.6169,17.7086,289.311,2014_q2
2,ACTON,1,Noncommercial,Gasoline,0,14795,6033,31.8153,21.2069,9050.89,2014_q2
2,ACTON,1,Noncommercial,Gasoline,1,766,336,38.2077,39.9123,321.65,2014_q2
2,ACTON,2,Commercial,Diesel,0,56,10,35.5158,14.2462,24.93,2014_q2
2,ACTON,2,Commercial,Flexfuel,0,73,18,46.877,16.6329,50.73,2014_q2
2,ACTON,2,Commercial,Gasoline,0,565,229,33.4162,17.9966,425.21,2014_q2
2,ACTON,2,Commercial,Gasoline,1,19,8,48.9878,31.4276,12.47,2014_q2
2,ACTON,2,Commercial,Other,0,7,0,,,,2014_q2
3,ACUSHNET,1,Noncommercial,Diesel,0,177,53,30.8604,14.9106,109.694,2014_q2
3,ACUSHNET,1,Noncommercial,Flexfuel,0,361,127,31.6201,17.2018,233.45,2014_q2
3,ACUSHNET,1,Noncommercial,Gasoline,0,8093,3012,28.8278,19.8575,4372.63,2014_q2
3,ACUSHNET,1,Noncommercial,Gasoline,1,63,20,32.6959,39.8731,16.4,2014_q2
3,ACUSHNET,1,Noncommercial,Other,0,1,0,,,,2014_q2
3,ACUSHNET,2,Commercial,Diesel,0,36,8,34.3989,14.2956,19.25,2014_q2
3,ACUSHNET,2,Commercial,Flexfuel,0,39,9,34.958,15.2655,20.61,2014_q2
3,ACUSHNET,2,Commercial,Gasoline,0,151,40,38.5801,16.7212,92.29,2014_q2
3,ACUSHNET,2,Commercial,Other,0,8,0,,,,2014_q2
4,ADAMS,1,Noncommercial,Diesel,0,58,16,25.7482,14.8191,27.8,2014_q2
4,ADAMS,1,Noncommercial,Flexfuel,0,269,95,32.1871,16.7595,182.45,2014_q2
4,ADAMS,1,Noncommercial,Gasoline,0,5567,2106,27.1362,19.9717,2861.5,2014_q2
4,ADAMS,1,Noncommercial,Gasoline,1,44,18,35.5969,42.2655,15.16,2014_q2
4,ADAMS,1,Noncommercial,Other,0,3,0,,,,2014_q2
4,ADAMS,2,Commercial,Diesel,0,13,2,12.4801,9.67446,2.58,2014_q2
4,ADAMS,2,Commercial,Flexfuel,0,19,7,50.3311,15.2849,23.05,2014_q2
4,ADAMS,2,Commercial,Gasoline,0,140,52,28.4742,16.9742,87.23,2014_q2
4,ADAMS,2,Commercial,Gasoline,1,1,0,,,,2014_q2
5,AGAWAM,1,Noncommercial,Diesel,0,242,77,28.6206,17.711,124.43,2014_q2
5,AGAWAM,1,Noncommercial,Elect,0,1,0,9.36,,,2014_q2
5,AGAWAM,1,Noncommercial,Flexfuel,0,977,365,28.7942,17.8394,589.14,2014_q2
5,AGAWAM,1,Noncommercial,Gasoline,0,20239,7609,28.294,20.5628,10469.8,2014_q2
5,AGAWAM,1,Noncommercial,Gasoline,1,208,60,39.1978,39.6806,59.27,2014_q2
5,AGAWAM,1,Noncommercial,Other,0,3,0,,,,2014_q2
5,AGAWAM,2,Commercial,Diesel,0,114,19,34.9917,15.5737,42.69,2014_q2
5,AGAWAM,2,Commercial,Flexfuel,0,190,26,45.0069,16.2955,71.81,2014_q2
5,AGAWAM,2,Commercial,Gasoline,0,681,258,43.6854,18.5105,608.89,2014_q2
5,AGAWAM,2,Commercial,Gasoline,1,7,1,24.3133,45.8741,0.53,2014_q2
5,AGAWAM,2,Commercial,Other,0,5,0,,,,2014_q2
6,ALFORD,1,Noncommercial,Diesel,0,19,7,33.2267,21.9215,10.61,2014_q2
6,ALFORD,1,Noncommercial,Flexfuel,0,16,6,27.0741,17.4859,9.29,2014_q2
6,ALFORD,1,Noncommercial,Gasoline,0,380,133,28.322,19.4226,193.94,2014_q2
6,ALFORD,1,Noncommercial,Gasoline,1,15,2,31.3758,40.7478,1.54,2014_q2
6,ALFORD,2,Commercial,Diesel,0,2,0,,,,2014_q2
6,ALFORD,2,Commercial,Gasoline,0,14,5,26.837,20.7395,6.47,2014_q2
7,AMESBURY,1,Noncommercial,Diesel,0,151,46,44.582,21.2581,96.47,2014_q2
7,AMESBURY,1,Noncommercial,Elect,0,1,0,,,,2014_q2
7,AMESBURY,1,Noncommercial,Flexfuel,0,527,209,39.2085,17.9132,457.46,2014_q2
7,AMESBURY,1,Noncommercial,Gasoline,0,11175,4223,35.7851,20.6705,7310.93,2014_q2
7,AMESBURY,1,Noncommercial,Gasoline,1,201,80,46.5142,39.6879,93.76,2014_q2
7,AMESBURY,1,Noncommercial,Other,0,3,1,47.5151,10.5355,4.51,2014_q2
7,AMESBURY,2,Commercial,Diesel,0,29,7,16.4486,15.8159,7.28,2014_q2
7,AMESBURY,2,Commercial,Flexfuel,0,72,17,42.3936,16.4541,43.8,2014_q2
7,AMESBURY,2,Commercial,Gasoline,0,290,103,37.7703,17.3089,224.76,2014_q2
7,AMESBURY,2,Commercial,Gasoline,1,3,1,45.3173,49.7992,0.91,2014_q2
7,AMESBURY,2,Commercial,Other,0,4,0,,,,2014_q2
8,AMHERST,1,Noncommercial,Diesel,0,160,41,33.269,27.9057,48.88,2014_q2
8,AMHERST,1,Noncommercial,Elect,0,5,0,21.4163,,,2014_q2
8,AMHERST,1,Noncommercial,Flexfuel,0,223,80,31.2491,18.0618,138.41,2014_q2
8,AMHERST,1,Noncommercial,Gasoline,0,10698,4036,28.6508,22.1575,5218.76,2014_q2
8,AMHERST,1,Noncommercial,Gasoline,1,732,298,35.5822,42.3767,250.22,2014_q2
8,AMHERST,1,Noncommercial,Other,0,1,0,,,,2014_q2
8,AMHERST,2,Commercial,Diesel,0,29,5,36.4244,17.4949,10.41,2014_q2
8,AMHERST,2,Commercial,Elect,0,1,0,27.2592,,,2014_q2
8,AMHERST,2,Commercial,Flexfuel,0,40,19,30.8073,15.1603,38.61,2014_q2
8,AMHERST,2,Commercial,Gasoline,0,284,109,24.8394,17.3457,156.09,2014_q2
8,AMHERST,2,Commercial,Gasoline,1,11,3,44.0939,41.8613,3.16,2014_q2
8,AMHERST,2,Commercial,Other,0,2,0,,,,2014_q2
9,ANDOVER,1,Noncommercial,Diesel,0,234,79,38.7271,24.1129,126.88,2014_q2
9,ANDOVER,1,Noncommercial,Elect,0,13,0,29.4103,,,2014_q2
9,ANDOVER,1,Noncommercial,Flexfuel,0,673,245,35.5721,17.1117,509.31,2014_q2
9,ANDOVER,1,Noncommercial,Gasoline,0,21636,8406,31.7612,20.4932,13027.9,2014_q2
9,ANDOVER,1,Noncommercial,Gasoline,1,669,250,37.0868,38.5678,240.4,2014_q2
9,ANDOVER,2,Commercial,Diesel,0,47,7,23.1241,14.6091,11.08,2014_q2
9,ANDOVER,2,Commercial,Flexfuel,0,96,25,42.4014,16.1051,65.82,2014_q2
9,ANDOVER,2,Commercial,Gasoline,0,709,248,34.2186,18.3165,463.31,2014_q2
9,ANDOVER,2,Commercial,Gasoline,1,13,3,125.938,43.5771,8.67,2014_q2
9,ANDOVER,2,Commercial,Other,0,3,0,,,,2014_q2
