seq_id,ct10_id,hh10,quarter,veh_tot,pass_veh,ovrlp_pct,best_geo,veh_phh,mipday_phh,veh_lo,veh_medlo,veh_medhi,veh_hi,veh_vhi,comm_veh,mipdaypass,mipdaybest,mipdaycomm,mipdaytot,pass_vmt,comm_vmt,tot_vmt,passvehage,mpg_eff,glpdaypass,co2eqv_day,co2eqv_hh,pass_hybrd,comm_hybrd,tot_hybrd,pass_elect,comm_elect,tot_elect
35166,25025061101,982,2014_q4,170.4489,169.2852,0.3628,47,0.17,4.5256,84,22,8,13,5,1.1637,26.6211,27.4988,0,26.6211,4506.5582,0,4537.5372,11.44,20.3255,221.7191,2.0079,0.002,0,0,0,0,0,0
33036,25017360100,365,2014_q4,5.1924,5.1924,0.5042,2,0.01,0.2371,3,1,1,0,0,0,23.7077,25.2679,0,23.7077,123.0999,0,123.0999,6.57,23.0814,5.3333,0.0483,0.0001,0,0,0,0,0,0
33996,25001010100,1765,2014_q4,3116.7115,2902.744,0.3516,854,1.64,39.402,1579,281,191,188,71,213.9675,24.0256,23.8757,31.2188,24.4016,69740.1662,6679.8086,76052.7473,9.39,20.5303,3396.9352,30.7621,0.0174,84,2,86,0,0,0
33997,25001010206,1366,2014_q4,3344.0939,3243.0939,0.3747,957,2.37,65.335,1635,217,248,274,103,101,27.5675,27.662,18.6721,27.5079,89403.9911,1885.8821,91989.0006,9.65,19.9822,4474.175,40.5174,0.0297,95,0,95,0,0,0
33998,25001010208,984,2014_q4,2310.9732,2208.9732,0.3492,648,2.24,66.0549,1125,156,187,196,81,102,29.4888,29.4505,0,29.4888,65139.9689,0,68147.8265,9.36,20.1644,3230.4363,29.2543,0.0297,60,0,60,1,0,1
33999,25001010304,1179,2014_q4,2643.8276,2587.7504,0.3854,839,2.19,57.9025,1383,252,212,202,82,56.0772,26.4395,26.5934,21.2005,26.3933,68418.8267,1188.8647,69779.335,9.62,19.853,3446.2661,31.2088,0.0265,67,0,67,0,0,0
34000,25001010306,1209,2014_q4,2686.0244,2580.1008,0.3509,751,2.13,59.2251,1438,204,205,207,85,105.9236,27.8052,27.8506,38.4995,27.9845,71740.2188,4078.0056,75167.0498,9.67,20.4864,3501.8476,31.7122,0.0262,56,0,56,0,0,0
34001,25001010400,1494,2014_q4,3295.5381,3046.119,0.3652,923,2.04,50.4971,1724,258,241,203,71,249.4191,24.7535,24.7806,31.3351,24.88,75402.1067,7815.5724,81992.9879,10.15,19.5969,3847.6562,34.8437,0.0233,75,1,76,0,0,0
34002,25001010500,1456,2014_q4,3217.4553,3136.8712,0.3394,891,2.15,52.3411,1835,246,213,178,63,80.5841,24.3447,24.3598,20.9623,24.3042,76366.1883,1689.2281,78197.6771,10.05,19.3549,3945.5803,35.7305,0.0245,86,0,86,1,0,1
34003,25001010600,1536,2014_q4,3183.1328,2966.3492,0.3663,931,1.93,47.9302,1625,267,216,200,81,216.7836,24.8343,24.6166,25.8284,24.8825,73667.2059,5599.1735,79204.3019,9.51,20.0157,3680.4743,33.3298,0.0217,66,0,66,0,0,0
